Title,Label,Category,Content,Date,URL,TOPIC
Title,Label,Category,Content,Date,URL,Sports
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,زائف,زائف,"تناقل ناشطون على مواقع التواصل خبرًا يدّعي حظر اليابان لقاحات كوفيد 19 بعد زيادة معدلات الوفيات  في البلاد بسبب اللقاح – بحسب الادعاء -،
فما مدى صحة هذا الخبر؟ تابع المقال الآتي..",2024-04-12T01:59:53+03:00,https://fatabyyano.net/371617829383-2/,Politics
هذه الصورة تعود لاستعراض عسكري في كوريا الشمالية عام 2017 وليست للقوات المسلحة الإيرانية,زائف,مضلل,"نشرت إحدى صفحات فيسبوك الادعاء بتاريخ 6 أفريل 2024 مرفقًا بالتعليق الآتي -من دون تصرّف-:
جزء من القوات المسلحة الإيرانية في حالة تأهب قصوى.. الويل للصهاينة وللعرب المتصهينين.
الرد خلال ساعات #اشارة_للجميع
",2024-04-12T01:44:52+03:00,https://fatabyyano.net/%D9%87%D8%B0%D9%87-%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9-%D8%AA%D8%B9%D9%88%D8%AF-%D9%84%D8%A7%D8%B3%D8%AA%D8%B9%D8%B1%D8%A7%D8%B6-%D8%B9%D8%B3%D9%83%D8%B1%D9%8A-%D9%81%D9%8A-%D9%83%D9%88%D8%B1%D9%8A/,Politics
هذه الصورة لا تظهر تنبؤ مسلسل سيمبسون بحادثة انهيار جسر بالتيمور ولم تعرض في أي من حلقات المسلسل,زائف,زائف,"نشر أحد مستخدمي فيسبوك الصورة في 30 مارس 2024 وفق الوصف الآتي – دون تصرف -:
هل تنبأ مسلسل عائلة سيمبسون بحادث انهيار جسر بالتيمور ؟! يبدو أن سيمبسونز لا يفوت حدثا من الأحداث الكبرى إلا ويخبر عنها قبل حدوثها. سيمبسون لا يتوقع أحداث بل يخبر عن مخططات.

حقق الادعاء على هذا الحساب عشرات التفاعلات حتى لحظة نشر هذا المقال،
كما تناقل الصورة في السياق ذاته مستخدمون آخرون على فيسبوك هنـا، هنـا وهنـا.",2024-04-12T01:38:05+03:00,https://fatabyyano.net/%D9%87%D8%B0%D9%87-%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9-%D9%84%D8%A7-%D8%AA%D8%B8%D9%87%D8%B1-%D8%AA%D9%86%D8%A8%D8%A4-%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%B3%D9%8A%D9%85%D8%A8%D8%B3%D9%88%D9%86-2/,Tech
قبطان السفينة التي تسببت بانهيار جسر “فرانسيس سكوت كي” في بالتيمور كان هنديًّا وليس أوكرانيًّا,زائف,مضلل,نشرت إحدى حسابات فيسبوك الادعاء بتاريخ 27 مارس 2024 مرفقًا بالتعليق الآتي -من دون تصرّف-:,2024-04-10T04:43:20+03:00,https://fatabyyano.net/%D8%B1%D8%A8%D8%A7%D9%86-%D8%A7%D9%84%D8%B3%D9%81%D9%8A%D9%86%D8%A9-%D8%AF%D8%A7%D9%84%D9%8A-%D8%A7%D9%84%D8%AA%D9%8A-%D8%A7%D8%B5%D8%B7%D8%AF%D9%85%D8%AA-%D8%A8%D8%AC%D8%B3%D8%B1-%D9%81%D8%B1/,Finance
هذا المقطع متداول منذ عام 2014 على الأقل، ولا يظهر منصات صواريخ نصبها الجيش السوداني قرب ولاية الجزيرة مؤخرًا,زائف,مضلل,نشرت إحدى حسابات فيسبوك الادعاء بتاريخ 06 أبريل 2024 مرفقًا بالتعليق الآتي -من دون تصرّف-:,2024-04-10T03:27:11+03:00,https://fatabyyano.net/%D9%87%D8%B0%D8%A7-%D8%A7%D9%84%D9%85%D9%82%D8%B7%D8%B9-%D9%85%D8%AA%D8%AF%D8%A7%D9%88%D9%84-%D9%85%D9%86%D8%B0-%D8%B9%D8%A7%D9%85-2014-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A3%D9%82%D9%84%D8%8C-%D9%88/,Finance
هذه الصورة لا تبين توجه شاحنات عسكرية إيرانية نحو سوريا، بل تعود لاحتفالات يوم الجيش في إيران عام 2019,زائف,مضلل,"نشر أحد مستخدمي فيسبوك الصورة في 04 أبريل 2024 مرفقةً بالوصف الآتي – دون تصرف -:
عاجل شاحنات إيرانية تعبر الحدود من العراق إلى سوريا حاملة أنواعًا مختلفة من الأسلحة.

حقق الادعاء على هذا الحساب عشرات التفاعلات حتى لحظة نشر هذا المقال،
كما تناقله مستخدمون آخرون على فيسبوك هنـا، هنـا وهنـا.",2024-04-08T16:12:15+03:00,https://fatabyyano.net/%D9%87%D8%B0%D9%87-%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9-%D9%84%D8%A7-%D8%AA%D8%A8%D9%8A%D9%86-%D8%AA%D9%88%D8%AC%D9%87-%D8%B4%D8%A7%D8%AD%D9%86%D8%A7%D8%AA-%D8%B9%D8%B3%D9%83%D8%B1%D9%8A%D8%A9-%D8%A5/,Tech
هذه الصورة من مناورات البحرية الروسية في بحر البلطيق عام 2018، وليست لأسطول روسي عبر مضيق باب المندب مؤخرًا,زائف,مضلل,نشرت إحدى حسابات فيسبوك الادعاء بتاريخ 29 مارس 2024 مرفقًا بالتعليق الآتي -من دون تصرّف-:,2024-04-05T01:28:04+03:00,https://fatabyyano.net/%D9%87%D8%B0%D9%87-%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9-%D9%85%D9%86-%D9%85%D9%86%D8%A7%D9%88%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%B1%D9%88%D8%B3%D9%8A%D8%A9/,Finance
هذا الادعاء زائف ولا يمكن القضاء على السرطان بمشروب بيكربونات الصوديوم والسكر,زائف,زائف,"تداول مستخدمون على مواقع التواصل مقطعاً يدعي إمكانية التخلص من الخلايا السرطانية بشكل نهائي باستخدام مشروب مكون من بيكربونات الصوديوم والسكر،
فما مدى صحة هذه المزاعم؟ تابع المقال الآتي..",2024-04-04T04:29:57+03:00,https://fatabyyano.net/%D9%84%D8%A7-%D9%8A%D9%85%D9%83%D9%86-%D8%A7%D9%84%D9%82%D8%B6%D8%A7%D8%A1-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%B3%D8%B1%D8%B7%D8%A7%D9%86/,Medical
هذا المقطع متداول منذ عام 2017، ولا يصور تدمير القوات المصرية آليات عسكرية تابعة لقوات الدعم السريع مؤخرًا,زائف,مضلل,نشرت إحدى صفحات فيسبوك الادعاء بتاريخ 30 مارس 2024 مرفقًا بالتعليق الآتي -من دون تصرّف-:,2024-04-03T00:56:28+03:00,https://fatabyyano.net/%D9%87%D8%B0%D8%A7-%D8%A7%D9%84%D9%85%D9%82%D8%B7%D8%B9-%D9%85%D8%AA%D8%AF%D8%A7%D9%88%D9%84-%D9%85%D9%86%D8%B0-%D8%B9%D8%A7%D9%85-2017%D8%8C-%D9%88%D9%84%D8%A7-%D9%8A%D8%B5%D9%88%D8%B1-%D8%AA%D8%AF/,Finance
لا صحة لهذا الخبر المتداول حول انقطاع الانترنت في العراق وباقي الدول بسبب عاصفة مغناطيسية,زائف,زائف,"نشرت إحدى حسابات فيسبوك الادعاء بتاريخ 24 مارس 2024 مرفقًا بالتعليق الآتي -من دون تصرّف-:
‫#عاجل_الآن‬
خلال ساعات قليلة وسينقطع الانترنت والشبكات في العراق وباقي الدول بسبب عاصفة مغناطيسية شديدة ستضرب الكرة الأرضية
سترك يارب",2024-03-31T16:48:50+03:00,https://fatabyyano.net/%D8%A5%D8%AF%D8%B9%D8%A7%D8%A1%D8%A7%D8%AA-%D8%B2%D8%A7%D8%A6%D9%81%D8%A9-%D8%AD%D9%88%D9%84-%D8%AE%D8%A8%D8%B1-%D8%A7%D9%86%D9%82%D8%B7%D8%A7%D8%B9-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA/,Politics
هذا المقطع يظهر عملاً فنياً وليس كتابًا باسم “Morisa” غلافه مصنوع من جلد إنسان,زائف,مضلل,"اغرب كتاب على مر التاريخ
مغطى بالكامل بجلد إنسان!!
يسمى كتاب Morisa محرم في كل ديانات العالم",2024-03-29T05:39:49+03:00,https://fatabyyano.net/%D9%87%D8%B0%D8%A7-%D8%A7%D9%84%D9%85%D9%82%D8%B7%D8%B9-%D9%8A%D8%B8%D9%87%D8%B1-%D8%B9%D9%85%D9%84%D8%A7%D9%8B-%D9%81%D9%86%D9%8A%D8%A7%D9%8B-%D9%88%D9%84%D9%8A%D8%B3-%D9%83%D8%AA%D8%A7%D8%A8%D9%8B/,Culture
هذه المعلومات المتداولة حول مشروع هارب واستخدامه كسلاح للتحكم بالطقس والتسبب بكوارث طبيعية غير صحيحة,زائف,زائف,"يتناقل ناشطون على فيسبوك العديد من الادعاءات المتعلقة بمشروع هارب الأمريكي لأبحاث الغلاف الأيوني، مدعين أنه سلاح قادر على التحكم بالطقس والتسبب بالكوارث الطبيعية وغيرها،
فما مدى صحة هذه الادعاءات؟ تابع المقال الآتي..",2024-03-29T03:50:13+03:00,https://fatabyyano.net/%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%87%D8%A7%D8%B1%D8%A8-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A-%D9%84%D9%84%D8%AA%D8%AD%D9%83%D9%85-%D9%81%D9%8A-%D8%A7%D9%84%D8%B7%D9%82%D8%B3/,Politics
هذه الصورة ليست لمكة المكرمة عام 1860 بل لموقع تصوير سينمائي يحاكي مكة المكرمة في إيران,زائف,مضلل,"تناقل ناشطون على منصات التواصل صورة يدعون أنها تظهر مدينة مكة المكرمة عام 1860،
فما حقيقة هذا الادعاء؟ تابع المقال الآتي..",2024-03-28T03:42:26+03:00,https://fatabyyano.net/%D9%87%D8%B0%D9%87-%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9-%D9%84%D9%8A%D8%B3%D8%AA-%D9%84%D9%85%D9%83%D8%A9-%D8%A7%D9%84%D9%85%D9%83%D8%B1%D9%85%D8%A9-%D8%B9%D8%A7%D9%85-1860-%D8%A8%D9%84-%D9%84%D9%85/,Politics
هذا المقطع يظهر قصفًا طال سفينتين روسيتين في شبه جزيرة القرم، وليس من القصف الإسرائيلي الأخير على مدينة بعلبك,زائف,مضلل,نشرت إحدى صفحات فيسبوك الادعاء بتاريخ 24 مارس 2024 مرفقًا بالتعليق الآتي -من دون تصرّف-:,2024-03-26T00:55:04+03:00,https://fatabyyano.net/%D9%87%D8%B0%D8%A7-%D8%A7%D9%84%D9%85%D9%82%D8%B7%D8%B9-%D9%8A%D8%B8%D9%87%D8%B1-%D9%82%D8%B5%D9%81%D9%8B%D8%A7-%D8%B7%D8%A7%D9%84-%D8%B3%D9%81%D9%8A%D9%86%D8%AA%D9%8A%D9%86-%D8%B1%D9%88%D8%B3%D9%8A/,Finance
هذا المقطع مصور في معرض ترفيهي خاص بعالم هاري بوتر، ونبات الماندراكورا الحقيقي لا يصرخ عند استخراجه,زائف,مضلل,نشرت إحدى حسابات انستغرام الادعاء بتاريخ 13 يناير 2024 مرفقًا بالتعليق الآتي -من دون تصرّف-:,2024-03-25T23:46:26+03:00,https://fatabyyano.net/%D9%87%D8%B0%D8%A7-%D8%A7%D9%84%D9%85%D9%82%D8%B7%D8%B9-%D9%85%D8%B5%D9%88%D8%B1-%D9%81%D9%8A-%D9%85%D8%B9%D8%B1%D8%B6-%D8%AA%D8%B1%D9%81%D9%8A%D9%87%D9%8A-%D8%AE%D8%A7%D8%B5-%D8%A8%D8%B9%D8%A7%D9%84/,Tech
لا وجود لكتاب يدعى “مثلث التوحيد”، والنسخة المتداولة من هذا الكتاب تعود للشاعر الروماني فيرجيل وليس كتاب ديني,زائف,زائف,نشرت إحدى حسابات فيسبوك الادعاء بتاريخ 24 مارس 2024 مرفقًا بالتعليق الآتي -من دون تصرّف-:,2024-03-25T22:08:57+03:00,https://fatabyyano.net/%D9%87%D8%B0%D9%87-%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9-%D9%85%D9%81%D8%A8%D8%B1%D9%83%D8%A9%D8%8C-%D9%88%D8%A7%D9%84%D8%A3%D8%B5%D9%84%D9%8A%D8%A9-%D8%AA%D8%A8%D9%8A%D9%86-%D9%84%D9%88%D8%AD%D8%A9/,Finance
هذا المقطع يصور مظاهرة في ساحة العاصي في حماة عام 2011 وليس حديثًا,زائف,مضلل,نشرت إحدى صفحات فيسبوك الادعاء بتاريخ 19 مارس 2024 مرفقًا بالتعليق الآتي -من دون تصرّف-:,2024-03-23T17:05:58+03:00,https://fatabyyano.net/%D9%87%D8%B0%D8%A7-%D8%A7%D9%84%D9%85%D9%82%D8%B7%D8%B9-%D9%8A%D8%B5%D9%88%D8%B1-%D9%85%D8%B8%D8%A7%D9%87%D8%B1%D8%A9-%D9%81%D9%8A-%D8%B3%D8%A7%D8%AD%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D8%B5%D9%8A-%D9%81/,Finance
هذه الصورة تعود للقنصلية البريطانية في تركيا عام 2022، ولا صحة لخبر تنكيس الأعلام في بريطانيا مؤخرًا,زائف,مضلل,"نشرت إحدى صفحات فيسبوك الصورة في 18 مارس 2024 وفق الوصف الآتي – دون تصرف -:
عاجل يتم تنكيس الأعلام في بريطانيا

حقق الادعاء على هذا الحساب مئات التفاعلات حتى لحظة نشر هذا المقال،
كما تناقله مستخدمون آخرون على فيسبوك هنـا، هنـا وهنـا.",2024-03-23T15:12:39+03:00,https://fatabyyano.net/%D8%AA%D9%86%D9%83%D9%8A%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D8%A7%D9%85-%D9%81%D9%8A-%D8%A8%D8%B1%D9%8A%D8%B7%D8%A7%D9%86%D9%8A%D8%A7-%D8%A5%D8%AB%D8%B1-%D8%A7%D8%AE%D8%AA%D9%81%D8%A7%D8%A1-%D9%85/,Politics
